"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","copyright","totalItems","totalEvents","totalGames","totalGamesInProgress","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
566083,"/api/v1.1/game/566083/feed/live","R","2019","2019-03-20T09:35:00Z","2019-03-20",FALSE,1,TRUE,"N","Y","N","14-566083-2019-03-20","2019","night","in Tokyo",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,1,1,0,"1.000",136,"Seattle Mariners","/api/v1/teams/136",7,FALSE,FALSE,1,0,1,".000",133,"Oakland Athletics","/api/v1/teams/133",2397,"Tokyo Dome","/api/v1/venues/2397","/api/v1/game/566083/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566958,"/api/v1.1/game/566958/feed/live","S","2019","2019-03-20T17:05:00Z","2019-03-20",FALSE,1,TRUE,"N","N","N","14-566958-2019-03-20","2019","day",NA,9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,25,12,12,".500",134,"Pittsburgh Pirates","/api/v1/teams/134",5,FALSE,FALSE,28,13,11,".542",142,"Minnesota Twins","/api/v1/teams/142",2862,"CenturyLink Sports Complex","/api/v1/venues/2862","/api/v1/game/566958/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567055,"/api/v1.1/game/567055/feed/live","S","2019","2019-03-20T17:05:00Z","2019-03-20",FALSE,1,TRUE,"N","N","N","14-567055-2019-03-20","2019","day",NA,9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,3,TRUE,FALSE,26,12,13,".480",116,"Detroit Tigers","/api/v1/teams/116",1,FALSE,FALSE,27,11,12,".478",143,"Philadelphia Phillies","/api/v1/teams/143",2700,"Spectrum Field","/api/v1/venues/2700","/api/v1/game/567055/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566564,"/api/v1.1/game/566564/feed/live","S","2019","2019-03-20T17:05:00Z","2019-03-20",FALSE,1,TRUE,"N","N","N","14-566564-2019-03-20","2019","day",NA,9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,25,15,10,".600",146,"Miami Marlins","/api/v1/teams/146",0,FALSE,FALSE,24,9,14,".391",138,"St. Louis Cardinals","/api/v1/teams/138",2520,"Roger Dean Chevrolet Stadium","/api/v1/venues/2520","/api/v1/game/566564/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565603,"/api/v1.1/game/565603/feed/live","S","2019","2019-03-20T17:05:00Z","2019-03-20",FALSE,1,TRUE,"N","N","N","14-565603-2019-03-20","2019","day",NA,9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,27,15,7,".682",147,"New York Yankees","/api/v1/teams/147",2,TRUE,FALSE,23,14,10,".583",117,"Houston Astros","/api/v1/teams/117",5000,"FITTEAM Ballpark of the Palm Beaches","/api/v1/venues/5000","/api/v1/game/565603/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566862,"/api/v1.1/game/566862/feed/live","S","2019","2019-03-20T17:07:00Z","2019-03-20",FALSE,1,TRUE,"N","N","N","14-566862-2019-03-20","2019","day",NA,9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,26,12,14,".462",144,"Atlanta Braves","/api/v1/teams/144",7,FALSE,FALSE,26,11,12,".478",141,"Toronto Blue Jays","/api/v1/teams/141",2536,"Dunedin Stadium","/api/v1/venues/2536","/api/v1/game/566862/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566758,"/api/v1.1/game/566758/feed/live","S","2019","2019-03-20T20:05:00Z","2019-03-20",FALSE,1,TRUE,"N","N","N","14-566758-2019-03-20","2019","day",NA,9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,25,8,12,".400",113,"Cincinnati Reds","/api/v1/teams/113",1,FALSE,FALSE,28,11,13,".458",140,"Texas Rangers","/api/v1/teams/140",2603,"Surprise Stadium","/api/v1/venues/2603","/api/v1/game/566758/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567260,"/api/v1.1/game/567260/feed/live","S","2019","2019-03-20T20:05:00Z","2019-03-20",FALSE,1,TRUE,"N","N","N","14-567260-2019-03-20","2019","day",NA,9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,11,TRUE,FALSE,27,11,13,".458",109,"Arizona Diamondbacks","/api/v1/teams/109",2,FALSE,FALSE,27,7,16,".304",145,"Chicago White Sox","/api/v1/teams/145",3809,"Camelback Ranch","/api/v1/venues/3809","/api/v1/game/567260/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566272,"/api/v1.1/game/566272/feed/live","S","2019","2019-03-20T20:10:00Z","2019-03-20",FALSE,1,TRUE,"N","N","N","14-566272-2019-03-20","2019","day",NA,9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,10,TRUE,FALSE,27,14,12,".538",158,"Milwaukee Brewers","/api/v1/teams/158",7,FALSE,FALSE,28,15,9,".625",135,"San Diego Padres","/api/v1/teams/135",2530,"Peoria Stadium","/api/v1/venues/2530","/api/v1/game/566272/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564927,"/api/v1.1/game/564927/feed/live","S","2019","2019-03-20T22:05:00Z","2019-03-20",FALSE,1,TRUE,"N","N","N","14-564927-2019-03-20","2019","night",NA,9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,27,9,15,".375",111,"Boston Red Sox","/api/v1/teams/111",4,FALSE,FALSE,26,12,12,".500",110,"Baltimore Orioles","/api/v1/teams/110",2508,"Ed Smith Stadium","/api/v1/venues/2508","/api/v1/game/564927/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
