"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate","copyright","totalItems","totalEvents","totalGames","totalGamesInProgress"
634642,"/api/v1.1/game/634642/feed/live","R","2021","2021-04-01T17:05:00Z","2021-04-01",FALSE,1,TRUE,"N","P","N","14-634642-2021-04-01","2021","day",9,FALSE,145,3,1,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,TRUE,FALSE,1,1,0,"1.000",141,"Toronto Blue Jays","/api/v1/teams/141",2,FALSE,FALSE,1,0,1,".000",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/634642/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634645,"/api/v1.1/game/634645/feed/live","R","2021","2021-04-01T17:10:00Z","2021-04-01",FALSE,1,TRUE,"N","P","N","14-634645-2021-04-01","2021","day",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Tigers home opener",NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,1,0,1,".000",114,"Cleveland Indians","/api/v1/teams/114",3,TRUE,FALSE,1,1,0,"1.000",116,"Detroit Tigers","/api/v1/teams/116",2394,"Comerica Park","/api/v1/venues/2394","/api/v1/game/634645/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634638,"/api/v1.1/game/634638/feed/live","R","2021","2021-04-01T18:10:00Z","2021-04-01",FALSE,1,TRUE,"N","P","N","14-634638-2021-04-01","2021","day",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Brewers home opener",NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,FALSE,FALSE,1,0,1,".000",142,"Minnesota Twins","/api/v1/teams/142",6,TRUE,FALSE,1,1,0,"1.000",158,"Milwaukee Brewers","/api/v1/teams/158",32,"American Family Field","/api/v1/venues/32","/api/v1/game/634638/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634634,"/api/v1.1/game/634634/feed/live","R","2021","2021-04-01T18:20:00Z","2021-04-01",FALSE,1,TRUE,"N","P","N","14-634634-2021-04-01","2021","day",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Cubs home opener",NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,1,1,0,"1.000",134,"Pittsburgh Pirates","/api/v1/teams/134",3,FALSE,FALSE,1,0,1,".000",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/634634/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634622,"/api/v1.1/game/634622/feed/live","R","2021","2021-04-01T19:05:00Z","2021-04-01",FALSE,1,TRUE,"N","P","N","14-634622-2021-04-01","2021","day",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Phillies home opener",NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,1,0,1,".000",144,"Atlanta Braves","/api/v1/teams/144",3,TRUE,FALSE,1,1,0,"1.000",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/634622/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634615,"/api/v1.1/game/634615/feed/live","R","2021","2021-04-01T20:10:00Z","2021-04-01",FALSE,1,TRUE,"N","P","N","14-634615-2021-04-01","2021","day",9,FALSE,145,4,1,"Regular Season","S","N","Normal Game","Rockies home opener",NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,FALSE,FALSE,1,0,1,".000",119,"Los Angeles Dodgers","/api/v1/teams/119",8,TRUE,FALSE,1,1,0,"1.000",115,"Colorado Rockies","/api/v1/teams/115",19,"Coors Field","/api/v1/venues/19","/api/v1/game/634615/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634618,"/api/v1.1/game/634618/feed/live","R","2021","2021-04-01T20:10:00Z","2021-04-01",FALSE,1,TRUE,"N","P","N","14-634618-2021-04-01","2021","day",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Padres home opener",NA,NA,"Final","F","Final","F",FALSE,"F",NA,7,FALSE,FALSE,1,0,1,".000",109,"Arizona Diamondbacks","/api/v1/teams/109",8,TRUE,FALSE,1,1,0,"1.000",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/634618/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634636,"/api/v1.1/game/634636/feed/live","R","2021","2021-04-01T20:10:00Z","2021-04-01",FALSE,1,TRUE,"N","P","N","14-634636-2021-04-01","2021","day",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game","Reds home opener",NA,NA,"Final","F","Final","F",FALSE,"F",NA,11,TRUE,FALSE,1,1,0,"1.000",138,"St. Louis Cardinals","/api/v1/teams/138",6,FALSE,FALSE,1,0,1,".000",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/634636/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634630,"/api/v1.1/game/634630/feed/live","R","2021","2021-04-01T20:10:00Z","2021-04-01",FALSE,1,TRUE,"N","P","N","14-634630-2021-04-01","2021","day",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Royals home opener",NA,NA,"Final","F","Final","F",FALSE,"F",NA,10,FALSE,FALSE,1,0,1,".000",140,"Texas Rangers","/api/v1/teams/140",14,TRUE,FALSE,1,1,0,"1.000",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/634630/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634652,"/api/v1.1/game/634652/feed/live","R","2021","2021-04-01T20:10:00Z","2021-04-01",FALSE,1,TRUE,"N","P","N","14-634652-2021-04-01","2021","day",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Marlins home opener",NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,TRUE,FALSE,1,1,0,"1.000",139,"Tampa Bay Rays","/api/v1/teams/139",0,FALSE,FALSE,1,0,1,".000",146,"Miami Marlins","/api/v1/teams/146",4169,"loanDepot park","/api/v1/venues/4169","/api/v1/game/634652/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
