"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate","copyright","totalItems","totalEvents","totalGames","totalGamesInProgress"
663178,"/api/v1.1/game/663178/feed/live","R","2022","2022-04-07T18:20:00Z","2022-04-07",FALSE,1,TRUE,"N","P","N","14-663178-2022-04-07","2022","day","Cubs home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,4,FALSE,FALSE,1,0,1,"0",158,"Milwaukee Brewers","/api/v1/teams/158",5,TRUE,FALSE,1,1,0,"1",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/663178/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662766,"/api/v1.1/game/662766/feed/live","R","2022","2022-04-07T20:10:00Z","2022-04-07",FALSE,1,TRUE,"N","P","N","14-662766-2022-04-07","2022","day","Royals home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,1,FALSE,FALSE,1,0,1,"0",114,"Cleveland Guardians","/api/v1/teams/114",3,TRUE,FALSE,1,1,0,"1",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/662766/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662021,"/api/v1.1/game/662021/feed/live","R","2022","2022-04-07T20:15:00Z","2022-04-07",FALSE,1,TRUE,"N","P","N","14-662021-2022-04-07","2022","day","Cardinals home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,0,FALSE,FALSE,1,0,1,"0",134,"Pittsburgh Pirates","/api/v1/teams/134",9,TRUE,FALSE,1,1,0,"1",138,"St. Louis Cardinals","/api/v1/teams/138",2889,"Busch Stadium","/api/v1/venues/2889","/api/v1/game/662021/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662571,"/api/v1.1/game/662571/feed/live","R","2022","2022-04-07T23:05:00Z","2022-04-07",FALSE,1,TRUE,"N","P","N","14-662571-2022-04-07","2022","night","Nationals home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,5,TRUE,FALSE,1,1,0,"1",121,"New York Mets","/api/v1/teams/121",1,FALSE,FALSE,1,0,1,"0",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/662571/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661577,"/api/v1.1/game/661577/feed/live","R","2022","2022-04-08T00:08:00Z","2022-04-07",FALSE,1,TRUE,"N","P","N","14-661577-2022-04-07","2022","night","Braves home opener",9,FALSE,145,4,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,6,TRUE,FALSE,1,1,0,"1",113,"Cincinnati Reds","/api/v1/teams/113",3,FALSE,FALSE,1,0,1,"0",144,"Atlanta Braves","/api/v1/teams/144",4705,"Truist Park","/api/v1/venues/4705","/api/v1/game/661577/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661042,"/api/v1.1/game/661042/feed/live","R","2022","2022-04-08T01:38:00Z","2022-04-07",FALSE,1,TRUE,"N","P","N","14-661042-2022-04-07","2022","night","Angels home opener",9,FALSE,NA,4,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,3,TRUE,FALSE,1,1,0,"1",117,"Houston Astros","/api/v1/teams/117",1,FALSE,FALSE,1,0,1,"0",108,"Los Angeles Angels","/api/v1/teams/108",1,"Angel Stadium","/api/v1/venues/1","/api/v1/game/661042/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
663418,"/api/v1.1/game/663418/feed/live","R","2022","2022-04-08T01:40:00Z","2022-04-07",FALSE,1,TRUE,"N","P","N","14-663418-2022-04-07","2022","night","D-backs home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,2,FALSE,FALSE,1,0,1,"0",135,"San Diego Padres","/api/v1/teams/135",4,TRUE,FALSE,1,1,0,"1",109,"Arizona Diamondbacks","/api/v1/teams/109",15,"Chase Field","/api/v1/venues/15","/api/v1/game/663418/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661333,"/api/v1.1/game/661333/feed/live","R","2022","2022-04-07T17:05:00Z","2022-04-08",NA,1,TRUE,"N","P","N","14-661333-2022-04-07","2022","day","Yankees home opener",9,FALSE,145,3,1,"Regular Season","S","N","Normal Game","2022-04-08T17:05:00Z","2022-04-08","Final","D","Postponed","DI",FALSE,"FALSE","Inclement Weather",NA,NA,FALSE,1,0,1,"0",111,"Boston Red Sox","/api/v1/teams/111",NA,NA,FALSE,1,1,0,"1",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/661333/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661750,"/api/v1.1/game/661750/feed/live","R","2022","2022-04-07T20:10:00Z","2022-04-08",NA,1,TRUE,"N","P","N","14-661750-2022-04-07","2022","day","Twins home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","2022-04-08T20:10:00Z","2022-04-08","Final","D","Postponed","DI",FALSE,"FALSE","Inclement Weather",NA,NA,FALSE,1,1,0,"1",136,"Seattle Mariners","/api/v1/teams/136",NA,NA,FALSE,1,0,1,"0",142,"Minnesota Twins","/api/v1/teams/142",3312,"Target Field","/api/v1/venues/3312","/api/v1/game/661750/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661333,"/api/v1.1/game/661333/feed/live","R","2022","2022-04-08T17:05:00Z","2022-04-08",FALSE,1,TRUE,"N","P","N","14-661333-2022-04-08","2022","day","Yankees home opener; makeup of 4/7ppd",9,FALSE,145,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,5,FALSE,FALSE,1,0,1,"0",111,"Boston Red Sox","/api/v1/teams/111",6,TRUE,FALSE,1,1,0,"1",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/661333/content","2022-04-07T17:05:00Z","2022-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA
