"Team","G","IP","K.","BB.","HR.9","BABIP","LOB.","GB.","LD.","FB.","HR.FB","EV","WHIP","ERA","FIP","xFIP","SIERA","WAR","O.Swing.","F.Strike.","SwStr.","Zone.","Barrel.","HardHit.","Date"
"KCR",3,3.1,0.267,0.2,0,0.25,1,0.25,0.125,0.625,0,85.5,1.5,0,3.42,5.65,5.15,0.1,0.256,0.6,0.088,0.426,0,0.125,2022-04-09
"MIN",3,5,0.35,0.15,0,0.3,1,0.4,0.4,0.2,0,84.9,1.2,0,2.12,2.71,3.23,0.1,0.293,0.55,0.211,0.423,0,0.3,2022-04-09
"SEA",2,2,0.143,0,0,0.167,1,0.167,0.167,0.667,0,85.1,0.5,0,2.12,5.1,5.46,0.2,0.45,0.571,0.139,0.444,0,0.5,2022-04-09
"COL",3,5.1,0.238,0.095,0,0.214,1,0.429,0.214,0.357,0,92.4,0.94,0,2.37,3.76,3.66,0.1,0.256,0.429,0.154,0.449,0,0.5,2022-04-09
"PHI",4,3,0.333,0,0,0.25,0.5,0.75,0,0.25,0,86.7,0.67,0,0.45,1.44,1.02,0.1,0.316,0.5,0.154,0.513,0,0.5,2022-04-09
"STL",3,3,0.273,0.182,0,0.167,1,0.667,0,0.333,0,82.3,1,0,3.12,4.11,4.39,0,0.261,0.636,0.15,0.425,0,0.333,2022-04-09
"NYM",7,7,0.25,0.071,1.29,0.222,1,0.474,0.211,0.316,0.167,86.8,1,1.29,3.83,3.25,3.15,0,0.5,0.714,0.131,0.414,0.053,0.316,2022-04-09
"NYY",7,7,0.308,0.077,0,0.313,0.714,0.563,0.25,0.188,0,82.2,1,1.29,1.69,2.33,2.38,0.3,0.492,0.577,0.225,0.292,0,0.125,2022-04-09
"DET",4,5,0.053,0.053,1.8,0.188,1,0.353,0.176,0.471,0.125,95.5,1,1.8,5.92,5.7,5.88,-0.2,0.426,0.632,0.107,0.373,0.176,0.529,2022-04-09
"BOS",6,5,0.348,0.13,1.8,0.3,0.758,0.364,0.273,0.364,0.25,95.2,1.4,1.8,4.92,3.51,3,0,0.395,0.609,0.186,0.5,0.182,0.545,2022-04-09
"TBR",6,4.2,0.389,0.056,1.93,0.222,1,0.4,0.1,0.5,0.2,87.4,0.86,1.93,3.54,2.36,1.75,0.1,0.388,0.556,0.225,0.388,0.1,0.2,2022-04-09
"LAD",4,4,0.438,0.063,0,0.375,0.75,0.5,0.25,0.25,0,86.2,1,2.25,0.37,1.11,1.36,0.2,0.313,0.75,0.169,0.458,0.125,0.375,2022-04-09
"BAL",5,4,0.25,0.125,0,0.2,0.75,0.5,0.3,0.2,0,85.5,1,2.25,2.62,3.36,3.7,0,0.281,0.75,0.097,0.484,0,0.4,2022-04-09
"ARI",9,11,0.14,0.093,0.82,0.281,0.794,0.419,0.258,0.323,0.1,90.4,1.27,2.45,4.3,4.47,4.79,0,0.372,0.767,0.098,0.472,0.061,0.394,2022-04-09
"HOU",8,7.1,0.188,0,0,0.36,0.5,0.32,0.36,0.32,0,89.2,1.23,2.45,1.89,3.52,3.32,0.2,0.368,0.469,0.131,0.443,0.04,0.32,2022-04-09
"CIN",8,9.2,0.3,0.125,0.93,0.182,0.698,0.391,0.217,0.391,0.111,90.4,1.03,3.72,3.53,3.57,3.41,0.1,0.289,0.6,0.152,0.409,0.174,0.435,2022-04-09
"TOR",7,8.2,0.059,0.088,2.08,0.111,0.769,0.207,0.138,0.655,0.105,88.9,0.92,4.15,6.69,6.96,7.3,-0.2,0.209,0.559,0.057,0.455,0.069,0.379,2022-04-09
"CLE",2,3.1,0.154,0.154,0,0.222,0.5,0.286,0.143,0.571,0,96.1,1.2,5.4,3.72,5.51,5.82,0,0.167,0.462,0.059,0.412,0,0.333,2022-04-09
"WSN",10,10,0.204,0.122,0,0.4,0.714,0.483,0.31,0.207,0,90.2,1.8,5.4,3.82,4.71,4.22,0.2,0.327,0.653,0.108,0.418,0.1,0.4,2022-04-09
"MIA",6,4.2,0.158,0.105,3.86,0.083,0.909,0.429,0.071,0.5,0.286,93.5,1.07,5.79,8.69,5.35,4.88,-0.3,0.324,0.579,0.074,0.456,0.143,0.571,2022-04-09
"MIL",2,3,0.214,0.071,0,0.444,0.667,0.556,0.111,0.333,0,95.3,1.67,6,3.12,4.61,3.47,0.1,0.143,0.429,0.088,0.485,0.111,0.444,2022-04-09
"ATL",7,7,0.333,0.067,1.29,0.313,0.526,0.412,0.176,0.412,0.143,86.5,1.14,6.43,3.4,3.04,2.36,0,0.4,0.567,0.167,0.417,0.118,0.471,2022-04-09
"CHC",5,3.2,0.125,0.063,0,0.385,0.5,0.462,0.231,0.308,0,92,1.64,7.36,2.84,4.47,4.48,0.1,0.182,0.563,0.086,0.529,0,0.385,2022-04-09
"PIT",5,5,0.125,0.167,3.6,0.143,0.645,0.313,0.375,0.313,0.4,91.4,1.6,9,10.12,6.41,6.18,-0.1,0.143,0.458,0.08,0.37,0.125,0.438,2022-04-09
"SDP",7,4,0.2,0.15,2.25,0.364,0.658,0.5,0.167,0.333,0.25,90.1,2,9,7.37,5.61,4.81,0.2,0.233,0.65,0.091,0.442,0,0.417,2022-04-09
"SFG",6,4,0.167,0.111,4.5,0.182,0.625,0.462,0.154,0.385,0.4,81,1.5,9,9.62,4.98,4.71,-0.2,0.318,0.5,0.099,0.38,0.154,0.308,2022-04-09
"CHW",5,4.2,0.208,0.083,1.93,0.429,0.625,0.333,0.2,0.467,0.143,91.3,1.93,9.64,6.33,5.78,4.01,-0.3,0.324,0.458,0.125,0.292,0.133,0.4,2022-04-09
"OAK",3,3,0.118,0.235,0,0.455,0.556,0.182,0.455,0.364,0,93.2,3,12,5.78,7.77,7.68,0,0.1,0.588,0.028,0.444,0,0.545,2022-04-09
"LAA",9,9.1,0.13,0.065,5.79,0.29,0.521,0.389,0.25,0.361,0.462,91.7,1.93,12.54,11.15,4.87,4.65,-0.4,0.31,0.457,0.079,0.428,0.189,0.514,2022-04-09
"TEX",4,4,0.19,0.143,4.5,0.333,0.323,0.357,0.286,0.357,0.4,96.6,2.25,15.75,9.87,5.23,4.93,-0.2,0.245,0.619,0.053,0.347,0.357,0.571,2022-04-09
"KCR",8,7.1,0.29,0.097,0,0.278,1,0.333,0.167,0.5,0,85.4,1.09,0,2.3,4.13,3.22,0.3,0.274,0.613,0.14,0.434,0,0.278,2022-04-10
"STL",8,8.1,0.281,0.125,0,0.211,1,0.526,0.211,0.263,0,87.8,0.96,0,2.4,3.29,3.44,0.1,0.286,0.656,0.112,0.478,0,0.421,2022-04-10
"NYY",13,13,0.306,0.122,0,0.179,0.818,0.571,0.143,0.286,0,85.6,0.85,0.69,2.19,3.11,3.15,0.4,0.438,0.571,0.201,0.305,0.036,0.25,2022-04-10
"NYM",10,10,0.289,0.053,0.9,0.208,1,0.52,0.2,0.28,0.143,87.8,0.8,0.9,2.82,2.56,2.44,0.1,0.5,0.737,0.147,0.412,0.04,0.32,2022-04-10
"COL",6,7.1,0.29,0.065,0,0.35,0.889,0.35,0.2,0.45,0,90.2,1.23,1.23,1.48,3.31,2.82,0.4,0.321,0.516,0.124,0.395,0,0.5,2022-04-10
"BOS",9,7.1,0.3,0.1,1.23,0.188,0.758,0.412,0.235,0.353,0.167,91.6,0.95,1.23,4.07,3.52,3.06,0,0.387,0.633,0.149,0.456,0.118,0.471,2022-04-10
"BAL",6,7,0.269,0.077,0,0.176,0.8,0.588,0.294,0.118,0,83.9,0.71,1.29,1.97,2.4,2.49,0.1,0.417,0.846,0.172,0.484,0,0.353,2022-04-10
"PHI",6,5,0.286,0.048,0,0.357,0.5,0.571,0.143,0.286,0,88.7,1.2,1.8,1.32,2.51,2.35,0.2,0.333,0.524,0.139,0.417,0.071,0.571,2022-04-10
"TBR",9,9.2,0.378,0.027,0.93,0.333,0.921,0.5,0.136,0.364,0.125,90.2,0.93,1.86,1.87,1.76,1.51,0.3,0.418,0.595,0.193,0.436,0.091,0.273,2022-04-10
"MIN",7,9.1,0.256,0.128,0,0.333,0.846,0.333,0.417,0.25,0,86.5,1.39,1.93,2.58,3.54,3.89,0.2,0.293,0.59,0.136,0.442,0,0.333,2022-04-10
"DET",8,9,0.118,0.029,1,0.214,0.909,0.429,0.214,0.357,0.1,95.4,0.89,2,4,4.22,4.37,-0.1,0.405,0.588,0.118,0.378,0.138,0.586,2022-04-10
"HOU",11,10.1,0.222,0.044,0.87,0.355,0.662,0.375,0.281,0.344,0.091,89.8,1.35,2.61,3.31,3.64,3.29,0.1,0.35,0.511,0.128,0.428,0.063,0.344,2022-04-10
"CIN",12,13.1,0.273,0.127,0.68,0.194,0.809,0.344,0.188,0.469,0.067,91.6,1.05,2.7,3.64,4.34,3.78,0.1,0.29,0.655,0.144,0.41,0.156,0.469,2022-04-10
"CLE",7,6.2,0.074,0.148,0,0.238,0.667,0.263,0.211,0.526,0,91.1,1.35,2.7,4.32,6.55,7,0.1,0.274,0.593,0.093,0.421,0.048,0.333,2022-04-10
"TOR",11,12.2,0.063,0.083,1.42,0.103,0.833,0.293,0.171,0.537,0.091,88.5,0.79,2.84,5.64,6.18,6.4,-0.2,0.215,0.563,0.067,0.436,0.049,0.366,2022-04-10
"SEA",6,6,0.381,0.048,1.5,0.091,0.625,0.167,0.083,0.75,0.111,87.4,0.5,3,3.12,3.19,2.31,0.2,0.459,0.524,0.186,0.371,0.083,0.417,2022-04-10
"LAD",6,9,0.4,0.029,1,0.278,0.758,0.526,0.211,0.263,0.2,85,0.78,3,2.12,1.5,1.28,0.3,0.367,0.657,0.162,0.419,0.105,0.263,2022-04-10
"ARI",13,15,0.131,0.082,0.6,0.319,0.714,0.478,0.217,0.304,0.071,88.4,1.4,3,3.92,4.44,4.62,0.1,0.353,0.705,0.087,0.448,0.042,0.354,2022-04-10
"MIA",10,8.2,0.333,0.091,2.08,0.176,0.962,0.474,0.105,0.421,0.25,93.9,0.92,3.12,4.62,2.99,2.62,-0.1,0.369,0.636,0.125,0.458,0.158,0.526,2022-04-10
