"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate","copyright","totalItems","totalEvents","totalGames","totalGamesInProgress"
718780,"/api/v1.1/game/718780/feed/live","R","2023","2023-03-30T17:05:00Z","2023-03-30",FALSE,1,TRUE,"N","P","N","14-718780-2023-03-30","2023","day","Nationals home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","FALSE","Final","FALSE",FALSE,"FALSE",7,TRUE,FALSE,1,1,0,"1",144,"Atlanta Braves","/api/v1/teams/144",2,FALSE,FALSE,1,0,1,"0",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/718780/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718771,"/api/v1.1/game/718771/feed/live","R","2023","2023-03-31T22:40:00Z","2023-03-31",FALSE,1,TRUE,"N","P","N","14-718771-2023-03-31","2023","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,1,1,1,".500",121,"New York Mets","/api/v1/teams/121",2,TRUE,FALSE,1,1,1,".500",146,"Miami Marlins","/api/v1/teams/146",4169,"loanDepot park","/api/v1/venues/4169","/api/v1/game/718771/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718764,"/api/v1.1/game/718764/feed/live","R","2023","2023-04-01T00:10:00Z","2023-03-31",FALSE,1,TRUE,"N","P","N","14-718764-2023-03-31","2023","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,1,1,1,".500",145,"Chicago White Sox","/api/v1/teams/145",6,TRUE,FALSE,1,1,1,".500",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/718764/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718766,"/api/v1.1/game/718766/feed/live","R","2023","2023-04-01T01:40:00Z","2023-03-31",FALSE,1,TRUE,"N","P","N","14-718766-2023-03-31","2023","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,TRUE,FALSE,1,2,0,"1.000",115,"Colorado Rockies","/api/v1/teams/115",1,FALSE,FALSE,1,0,2,".000",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/718766/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718765,"/api/v1.1/game/718765/feed/live","R","2023","2023-04-01T02:10:00Z","2023-03-31",FALSE,1,TRUE,"N","P","N","14-718765-2023-03-31","2023","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,TRUE,FALSE,1,1,1,".500",109,"Arizona Diamondbacks","/api/v1/teams/109",1,FALSE,FALSE,1,1,1,".500",119,"Los Angeles Dodgers","/api/v1/teams/119",22,"Dodger Stadium","/api/v1/venues/22","/api/v1/game/718765/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718763,"/api/v1.1/game/718763/feed/live","R","2023","2023-04-01T02:10:00Z","2023-03-31",FALSE,1,TRUE,"N","P","N","14-718763-2023-03-31","2023","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,1,1,1,".500",114,"Cleveland Guardians","/api/v1/teams/114",4,FALSE,FALSE,1,1,1,".500",136,"Seattle Mariners","/api/v1/teams/136",680,"T-Mobile Park","/api/v1/venues/680","/api/v1/game/718763/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718760,"/api/v1.1/game/718760/feed/live","R","2023","2023-04-01T18:10:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718760-2023-04-01","2023","day",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,1,1,2,".333",145,"Chicago White Sox","/api/v1/teams/145",6,TRUE,FALSE,1,2,1,".667",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/718760/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718759,"/api/v1.1/game/718759/feed/live","R","2023","2023-04-01T18:15:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718759-2023-04-01","2023","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,1,1,1,".500",141,"Toronto Blue Jays","/api/v1/teams/141",4,TRUE,FALSE,1,1,1,".500",138,"St. Louis Cardinals","/api/v1/teams/138",2889,"Busch Stadium","/api/v1/venues/2889","/api/v1/game/718759/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718758,"/api/v1.1/game/718758/feed/live","R","2023","2023-04-01T18:20:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718758-2023-04-01","2023","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,TRUE,FALSE,1,1,1,".500",158,"Milwaukee Brewers","/api/v1/teams/158",1,FALSE,FALSE,1,1,1,".500",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/718758/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718752,"/api/v1.1/game/718752/feed/live","R","2023","2023-04-01T20:05:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718752-2023-04-01","2023","day",NA,9,FALSE,145,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,1,0,2,".000",143,"Philadelphia Phillies","/api/v1/teams/143",16,TRUE,FALSE,1,2,0,"1.000",140,"Texas Rangers","/api/v1/teams/140",5325,"Globe Life Field","/api/v1/venues/5325","/api/v1/game/718752/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718753,"/api/v1.1/game/718753/feed/live","R","2023","2023-04-01T20:05:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718753-2023-04-01","2023","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,1,2,0,"1.000",144,"Atlanta Braves","/api/v1/teams/144",1,FALSE,FALSE,1,0,2,".000",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/718753/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718762,"/api/v1.1/game/718762/feed/live","R","2023","2023-04-01T20:05:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718762-2023-04-01","2023","day",NA,9,FALSE,145,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,1,1,1,".500",137,"San Francisco Giants","/api/v1/teams/137",5,FALSE,FALSE,1,1,1,".500",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/718762/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718757,"/api/v1.1/game/718757/feed/live","R","2023","2023-04-01T20:07:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718757-2023-04-01","2023","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",13,TRUE,FALSE,1,1,1,".500",108,"Los Angeles Angels","/api/v1/teams/108",1,FALSE,FALSE,1,1,1,".500",133,"Oakland Athletics","/api/v1/teams/133",10,"Oakland Coliseum","/api/v1/venues/10","/api/v1/game/718757/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718761,"/api/v1.1/game/718761/feed/live","R","2023","2023-04-01T20:10:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718761-2023-04-01","2023","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",8,FALSE,FALSE,1,1,1,".500",110,"Baltimore Orioles","/api/v1/teams/110",9,TRUE,FALSE,1,1,1,".500",111,"Boston Red Sox","/api/v1/teams/111",3,"Fenway Park","/api/v1/venues/3","/api/v1/game/718761/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718756,"/api/v1.1/game/718756/feed/live","R","2023","2023-04-01T20:10:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718756-2023-04-01","2023","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,1,1,1,".500",134,"Pittsburgh Pirates","/api/v1/teams/134",6,TRUE,FALSE,1,1,1,".500",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/718756/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718754,"/api/v1.1/game/718754/feed/live","R","2023","2023-04-01T20:10:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718754-2023-04-01","2023","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,1,0,2,".000",116,"Detroit Tigers","/api/v1/teams/116",12,TRUE,FALSE,1,2,0,"1.000",139,"Tampa Bay Rays","/api/v1/teams/139",12,"Tropicana Field","/api/v1/venues/12","/api/v1/game/718754/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718751,"/api/v1.1/game/718751/feed/live","R","2023","2023-04-01T20:10:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718751-2023-04-01","2023","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,TRUE,FALSE,1,2,0,"1.000",142,"Minnesota Twins","/api/v1/teams/142",0,FALSE,FALSE,1,0,2,".000",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/718751/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718755,"/api/v1.1/game/718755/feed/live","R","2023","2023-04-01T20:10:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718755-2023-04-01","2023","day",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",6,TRUE,FALSE,1,2,1,".667",121,"New York Mets","/api/v1/teams/121",2,FALSE,FALSE,1,1,2,".333",146,"Miami Marlins","/api/v1/teams/146",4169,"loanDepot park","/api/v1/venues/4169","/api/v1/game/718755/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718750,"/api/v1.1/game/718750/feed/live","R","2023","2023-04-02T00:40:00Z","2023-04-01",FALSE,1,TRUE,"N","P","N","14-718750-2023-04-01","2023","night",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,1,2,1,".667",115,"Colorado Rockies","/api/v1/teams/115",8,TRUE,FALSE,1,1,2,".333",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/718750/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
