"Team","G","IP","K.","BB.","HR.9","BABIP","LOB.","GB.","LD.","FB.","HR.FB","EV","WHIP","ERA","FIP","xFIP","SIERA","WAR","O.Swing.","F.Strike.","SwStr.","Zone.","Barrel.","HardHit.","Date","url"
"KCR",4,3.2,0.278,0.167,0,0.4,1,0.2,0.4,0.4,0,98,1.91,0,3.72,5.1,4.57,0,0.222,0.5,0.145,0.408,0.1,0.7,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"MIN",4,3.2,0.25,0.167,0,0,1,0.429,0.143,0.429,0,90.7,0.55,0,3.99,5.03,4.81,0,0.348,0.5,0.167,0.452,0,0.429,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"NYY",3,3,0.455,0.091,0,0.2,1,0.4,0.2,0.4,0,90,0.67,0,1.66,2.51,1.81,0.1,0.429,0.545,0.107,0.352,0,0.2,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"OAK",4,4,0.313,0.188,0,0.125,1,0.25,0.125,0.625,0,93.2,1,0,3.74,5.33,4.6,0.1,0.34,0.375,0.107,0.361,0,0.5,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"SEA",3,3,0.25,0,0,0.333,1,0.444,0.111,0.444,0,82.3,1,0,1.99,3.69,2.84,0.1,0.316,0.333,0.178,0.578,0,0.333,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"TBR",3,3,0,0.154,0,0.182,1,0.455,0.273,0.273,0,88.7,1.33,0,5.99,7.26,7.71,-0.1,0.32,0.692,0.114,0.419,0,0.364,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"CHC",3,3,0.364,0.182,0,0.2,1,0.4,0,0.6,0,89.1,1,0,3.33,4.6,3.86,0,0.409,0.727,0.163,0.488,0,0.4,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"COL",3,3,0.417,0.083,0,0.333,1,0.5,0.167,0.333,0,89.8,1,0,1.66,2.51,2.01,0.1,0.24,0.417,0.065,0.457,0,0.333,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"LAD",3,3,0.222,0,0,0,1,0.143,0,0.857,0,84,0,0,2.66,5.2,5.31,0,0.368,0.556,0.171,0.457,0.143,0.143,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"MIL",3,3,0.167,0.083,0,0.222,1,0.667,0.111,0.222,0,87.6,1,0,3.66,4.51,3.75,0,0.316,0.75,0.108,0.486,0,0.333,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"NYM",3,3,0.6,0,0,0.25,1,0.25,0.25,0.5,0,85.6,0.33,0,-0.01,0.84,0.1,0.2,0.344,0.6,0.13,0.304,0,0.25,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"PIT",4,4.1,0.438,0.125,0,0.286,1,0.571,0,0.429,0,87,0.92,0,2.15,3.03,2.37,0.2,0.317,0.5,0.2,0.369,0,0.429,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
"ATL",5,5.2,0.12,0.16,0,0.222,0.875,0.667,0.167,0.167,0,88.5,1.41,1.59,5.05,5.72,5.39,-0.1,0.35,0.72,0.139,0.4,0,0.389,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=rel&lg=all&qual=0&type=c%2C7%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0%2Cts&rost=0&age=0&filter=&players=0&startdate=2023-03-24&enddate=2023-03-30"
