"Team","PA","HR","R","RBI","SB","BB.","K.","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC.","EV","BsR","Off","Def","WAR","LD.","GB.","FB.","HR.FB","O.Swing.","SwStr.","Barrel.","HardHit.","Date"
"LAD",131,3,23,22,1,0.14,0.198,0.1321,0.3704,0.3113,0.4122,0.4434,0.3826,140.0627,88.192,-0.3291,6.222,-0.8375,1.0293,0.226,0.38,0.392,0.09,0.267,0.095,0.071,0.392,2024-03-29
"SDP",122,1,23,20,3,0.106,0.172,0.0857,0.3529,0.2952,0.377,0.381,0.3417,115.9764,86.4993,0.4375,2.872,-0.0096,0.741,0.317,0.447,0.235,0,0.35,0.112,0.069,0.348,2024-03-29
"ARI",44,1,16,16,0,0.068,0.204,0.15,0.5484,0.45,0.4773,0.6,0.47,192.9747,92.071,-0.1,5.0123,0.0879,0.6786,0.281,0.468,0.2,0.12,0.278,0.081,0.062,0,2024-03-29
"BAL",41,2,11,11,1,0.146,0.12,0.2424,0.2857,0.303,0.3902,0.5455,0.3995,165.7682,86.921,0.3249,3.3829,-0.1186,0.4523,0.133,0.466,0,0.166,0.26,0.077,0.133,0.366,2024-03-29
"TOR",40,3,8,8,0,0.17,0.17,0.3125,0.1818,0.2188,0.375,0.5312,0.398,165.2225,90.249,-0.1753,2.7163,0.1804,0.4121,0.1,0.4,0.4,0.272,0.235,0.107,0.1,0.4,2024-03-29
"NYY",42,1,5,5,0,0.214,0.238,0.129,0.3333,0.2581,0.4286,0.3871,0.3781,150.5231,88.5228,-0.0209,2.3855,0.039,0.3703,0.227,0.636,0.136,0.333,0.239,0.105,0.045,0.318,2024-03-29
"CIN",37,2,8,8,3,0.054,0.243,0.2647,0.3478,0.2941,0.3514,0.5588,0.3964,143.7455,88.7038,0.5895,2.5098,-0.3021,0.3602,0,0.2,0.5,0.153,0.381,0.171,0.1,0.4,2024-03-29
"CLE",42,0,8,7,0,0.071,0.166,0.1714,0.3793,0.3143,0.4048,0.4857,0.3927,160.8336,90.6766,-0.5123,2.3852,-0.1169,0.3545,0.285,0.357,0.357,NA,0.2,0.095,0.034,0.448,2024-03-29
"BOS",40,2,6,6,3,0,0.17,0.2632,0.3103,0.2895,0.325,0.5526,0.3793,143.9715,88.2301,0.2569,2.2003,-0.3614,0.3051,0.29,0.354,0.354,0.181,0.387,0.077,0.064,0.354,2024-03-29
"HOU",40,1,4,4,0,0,0.17,0.1053,0.4,0.3421,0.375,0.4474,0.3676,142.2992,90.6093,-0.1942,1.7072,0.0732,0.2992,0.29,0.419,0.29,0.111,0.342,0.105,0.032,0.451,2024-03-29
"TEX",42,2,4,4,0,0.142,0.238,0.2353,0.2609,0.2353,0.3415,0.4706,0.3467,117.9108,89.5693,0.0191,0.7873,0.575,0.2629,0,0,0,0,0.305,0.105,0.076,0.384,2024-03-29
"MIN",42,1,4,3,0,0.11,0.285,0.1081,0.375,0.2703,0.3571,0.3784,0.3271,117.2916,88.3522,-0.091,0.4965,0.5203,0.228,0.2,0.3,0,0,0.279,0.158,0,0.4,2024-03-29
"SEA",36,2,4,4,0,0.027,0.2,0.2353,0.2609,0.2353,0.2778,0.4706,0.3272,121.1092,88.668,-0.1286,0.5729,-0.3839,0.1264,0.2,0.4,0.2,0.285,0.318,0.127,0,0,2024-03-29
"TBR",35,1,2,2,1,0.057,0.314,0.1818,0.3333,0.2424,0.2857,0.4242,0.3128,111.3386,90.0656,-0.238,0.0559,0.0613,0.1162,0.272,0.409,0.318,0.142,0.337,0.14,0.09,0,2024-03-29
"PIT",52,3,6,6,0,0.153,0.326,0.25,0.25,0.2045,0.3269,0.4545,0.3331,102.3787,85.4556,-0.1854,-0.0639,-0.7593,0.1092,0.259,0.444,0.296,0.37,0.268,0.173,0.111,0.37,2024-03-29
"SFG",35,1,4,4,0,0.028,0.285,0.1562,0.3636,0.2812,0.2941,0.4375,0.3166,94.1428,91.1956,-0.3845,-0.6612,0.1245,0.0753,0.217,0.478,0.304,0.142,0.298,0.091,0.083,0,2024-03-29
"CHC",40,0,3,2,0,0.12,0,0.1515,0.2308,0.1818,0.3,0.3333,0.2778,73.7432,91.7191,0.1308,-1.2306,-0.8183,-0.0591,0.153,0.461,0.384,NA,0.27,0.082,0.076,0.423,2024-03-29
