Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Aaron Judge","NYY",154,661,554,157,83,25,1,48,106,115,96,10,173,7,4,1,11,8,3,0.283412,0.144472,0.261568,0.552328,0.392559,0.591456,0.414323,0.984016,0.308045,3.63152,0.324185,,-0.246393,130.589,54.9406,176.202,-0.246393,-0.9,56.48347717523575,-7.5293048620224,7.34827,4.460000038146973,,,,"15640"
"Mike Trout","LAA",152,657,551,149,72,28,3,45,105,110,90,10,178,11,4,1,7,3,1,0.269505,0.13721,0.27096,0.506386,0.381008,0.577853,0.404171,0.958861,0.308348,3.73762,0.311742,,-0.552573,124.511,49.3123,166.419,-0.552573,-4.33,48.60063272714615,-2.583217740058899,7.02679,21.809999465942383,,,,"10155"
"Juan Soto","SDP",154,665,529,147,89,28,2,28,100,88,127,10,98,4,4,0,15,8,3,0.277921,0.191749,0.147601,1.2991,0.419322,0.500127,0.396753,0.91945,0.222207,4.01991,0.292105,,-0.572084,122.006,45.9542,162.334,-0.572084,-1.51,47.595789551734924,-10.140604734420776,6.27801,9.920000076293945,,,,"20123"
"Mookie Betts","LAD",154,661,577,158,89,35,3,32,98,94,69,1,107,9,5,1,9,13,4,0.27437,0.104775,0.161248,0.649777,0.357876,0.512286,0.374209,0.870163,0.237916,5.00627,0.284254,,0.507514,109.406,33.833,144.847,0.507514,6.11,34.94386965036392,-0.9195647239685059,5.903,10.8100004196167,,,,"13611"
"José Ramírez","CLE",151,641,560,151,82,35,4,30,92,93,68,12,82,6,6,0,8,23,7,0.269276,0.106838,0.128222,0.833224,0.351747,0.504895,0.362484,0.856641,0.235618,5.76651,0.266737,,1.31836,100.192,26.8587,138.677,1.31836,5.73,29.230899453163147,6.45663595199585,5.88776,2.9600000381469727,,,,"13510"
"Yordan Alvarez","HOU",139,606,521,150,80,32,2,36,91,100,73,8,129,6,5,0,11,0,0,0.287233,0.120804,0.213475,0.565892,0.378074,0.560632,0.397301,0.938706,0.273399,2.41105,0.31574,,-0.621709,111.423,42.1324,163.987,-0.621709,1.54,43.010992884635925,-7.888294219970703,5.71043,10.420000076293945,,,,"19556"
"Nolan Arenado","STL",156,666,599,160,94,32,2,32,85,95,56,5,88,5,6,1,10,4,1,0.266841,0.0837108,0.132323,0.632625,0.331094,0.485368,0.349437,0.816461,0.218526,3.4096,0.263971,,-0.296462,97.2439,21.0128,129.692,-0.296462,6.08,22.701491117477417,7.885555386543274,5.5624,34.77000045776367,,,,"9777"
"Will Smith","LAD",136,544,472,123,70,25,2,25,72,77,56,3,100,11,5,1,8,1,0,0.259827,0.102507,0.183328,0.559142,0.347604,0.480579,0.356763,0.828183,0.220752,3.18818,0.277074,,-0.449666,82.6116,20.3349,132.922,-0.449666,8.42,20.38249644637108,13.81682538986206,5.51134,58.08000183105469,,,,"19197"
"Julio Rodríguez","SEA",149,631,567,157,98,29,3,27,88,80,50,5,156,9,3,1,11,21,5,0.277551,0.0797593,0.246687,0.323321,0.344323,0.485041,0.356716,0.829364,0.20749,5.85108,0.335825,,1.55422,95.6581,23.5284,139.564,1.55422,-0.74,29.638574361801147,1.559382677078247,5.38122,4,,,,"23697"
"Alex Bregman","HOU",154,669,569,149,90,34,1,24,88,83,83,2,85,9,7,1,12,1,0,0.262556,0.124637,0.126806,0.982893,0.361907,0.455262,0.356032,0.817169,0.192705,2.62681,0.267885,,-0.602469,101.146,24.6043,134.864,-0.602469,1.88,25.65913724899292,3.856283187866211,5.33337,81.45999908447266,,,,"17678"
"J.T. Realmuto","PHI",138,544,486,130,81,25,4,21,74,67,42,2,120,9,4,1,9,14,3,0.267395,0.0780979,0.219666,0.35553,0.335567,0.461427,0.344933,0.796994,0.194032,5.70015,0.312123,,0.96816,77.4568,15.211,121.713,0.96816,8.85,14.700938701629639,16.861464500427246,5.23352,26.040000915527344,,,,"11739"
"Fernando Tatis Jr.","SDP",125,539,474,131,69,25,2,34,90,87,56,3,140,6,3,1,8,23,6,0.276679,0.103443,0.258941,0.399484,0.357823,0.55661,0.388656,0.914433,0.279932,6.01246,0.319558,,1.73903,95.4233,33.781,156.8,1.73903,0.45,37.314294934272766,-6.119068920612335,5.17636,18.5,,,,"19709"
"Corey Seager","TEX",143,603,533,146,88,30,2,27,76,84,58,5,99,6,5,0,12,1,0,0.27482,0.0967466,0.163787,0.590686,0.350111,0.489714,0.36067,0.839826,0.214894,2.36627,0.289619,,-0.561758,93.3927,24.4,137.506,-0.561758,0.42,24.903816401958466,5.0341977179050446,5.15736,66.2300033569336,,,,"13624"
"Xander Bogaerts","SDP",151,651,577,159,106,32,1,20,82,80,60,2,123,6,5,1,14,5,1,0.275319,0.0918362,0.18953,0.484547,0.346993,0.437941,0.342079,0.784933,0.162622,3.51854,0.316751,,-0.224039,91.1686,16.7176,124.964,-0.224039,1.44,18.66060797870159,7.929612159729004,5.08785,91.19000244140625,,,,"12161"
"Jose Altuve","HOU",149,648,574,160,101,30,2,27,91,84,63,1,101,6,3,1,14,10,3,0.278496,0.0969418,0.155139,0.624869,0.354151,0.476469,0.360265,0.83062,0.197974,4.182,0.29592,,0.101688,100.131,26.0065,137.851,0.101688,-1.4,27.713229425251484,0.09959733486175537,5.08404,43.27000045776367,,,,"5417"
"Manny Machado","SDP",156,672,597,160,98,28,1,32,89,97,66,8,127,3,5,1,11,10,3,0.267477,0.0975581,0.189251,0.515496,0.340378,0.480953,0.351083,0.821331,0.213475,3.96877,0.288021,,0.197075,98.9156,22.0629,131.119,0.197075,-0.67,24.496931314468384,1.1355554461479187,5.06136,16.040000915527344,,,,"11493"
"Trea Turner","PHI",156,665,609,174,116,32,5,22,94,78,46,1,122,5,4,1,12,28,6,0.285349,0.0684588,0.182889,0.374318,0.33779,0.460086,0.345533,0.797875,0.174736,6.28639,0.32369,,2.41739,94.9551,18.902,122.124,2.41739,-0.64,19.513322830200195,6.331450343132019,5.05899,2.190000057220459,,,,"16252"
"Austin Riley","ATL",156,670,598,164,94,32,2,36,94,101,55,2,160,11,5,1,11,1,0,0.274817,0.082607,0.238819,0.345898,0.344765,0.51498,0.368574,0.859745,0.240163,2.69014,0.315487,,-0.603856,107.969,31.3165,136.875,-0.603856,-5.71,28.11631727218628,-3.3025927543640137,4.96923,21.5,,,,"18360"
"Carlos Correa","MIN",146,636,560,149,98,27,1,23,80,83,65,2,131,5,5,1,13,0,0,0.26656,0.101626,0.206295,0.492625,0.344788,0.443679,0.343634,0.788466,0.177118,1.79826,0.306519,,-0.677916,89.8712,17.1215,128.186,-0.677916,0.47,20.156566262245178,4.9508568942546844,4.8797,125.5,,,,"14162"
"Vladimir Guerrero Jr.","TOR",154,660,581,169,102,33,1,33,95,99,67,7,104,7,4,1,16,6,2,0.291071,0.102296,0.157341,0.650157,0.369169,0.523239,0.381369,0.892409,0.232168,3.49358,0.303472,,-0.309244,112.995,37.5347,152.81,-0.309244,-1.21,38.90833482146263,-13.876192092895508,4.83106,11.850000381469727,,,,"19611"
"Wander Franco","TBR",144,615,557,159,106,34,6,13,75,70,49,2,62,4,5,1,13,10,3,0.284923,0.0791487,0.10095,0.784038,0.343407,0.435801,0.338514,0.779208,0.150878,5.15309,0.299141,,0.133567,84.3483,14.0458,126.978,0.133567,1.04,18.79872018098831,6.9576029777526855,4.75654,91.69000244140625,,,,"23667"
