Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",157,679,581,185,111,33,3,37,132,98,77,3,105,10,4,6,,55,14,0.318289,0.1139,0.154982,0.734922,0.405005,0.577995,0.415148,0.983,0.259706,6.95548,0.333485,2.17691,3.41733,137.304,54.572,162.03,5.59424,-0.401166,57.77287292480469,-7.876165896654129,7.28164,999,,,,"18401"
"Juan Soto","NYY",157,679,537,153,85,27,1,39,113,110,132,10,110,4,5,2,,11,5,0.284331,0.1937,0.161786,1.19726,0.425448,0.557789,0.414718,0.983237,0.273458,3.81218,0.289011,-1.12931,-1.28745,137.062,54.3294,170.559,-2.41676,-0.607068,54.989041566848755,-9.882067620754242,6.7984,999,,,,"20123"
"Aaron Judge","NYY",152,658,543,147,78,23,1,45,113,107,101,12,175,5,5,4,,8,3,0.270075,0.1538,0.265984,0.57823,0.386289,0.563251,0.396066,0.94954,0.293176,3.66803,0.310044,0.0690336,-0.953383,122.63,42.4564,157.631,-0.884349,-2.19769,44.55331838130951,-4.747691869735718,6.19861,999,,,,"15640"
"Mookie Betts","LAD",157,679,580,162,93,35,2,32,113,88,80,2,108,9,4,6,,14,4,0.279392,0.1177,0.159264,0.739025,0.372725,0.51298,0.378193,0.885704,0.233587,4.8242,0.292358,1.24455,-0.166258,116.464,33.7322,141.046,1.07829,1.21731,35.60560345649719,0.7423112094402313,5.93059,999,,,,"13611"
"Yordan Alvarez","HOU",141,609,515,154,82,32,2,38,99,110,79,6,121,10,5,1,,1,1,0.298733,0.1289,0.198254,0.650174,0.398216,0.590891,0.413684,0.989107,0.292158,3.11063,0.320744,-0.366,-1.25087,122.408,48.2053,168.634,-1.61687,-0.0140805,48.465795159339905,-12.739080840721726,5.62586,999,,,,"19556"
"Fernando Tatis Jr.","SDP",156,672,594,165,93,34,1,37,105,98,64,1,145,5,5,4,,27,8,0.277679,0.0947,0.215136,0.440186,0.349663,0.524049,0.370614,0.873712,0.24637,5.31488,0.307485,1.50129,0.702382,111.034,29.1548,138.805,2.20367,5.57837,34.50929045677185,-1.121626853942871,5.61163,999,,,,"19709"
"Julio Rodríguez","SEA",156,672,602,170,100,34,3,33,100,94,51,5,153,9,5,4,,31,11,0.282472,0.0762999,0.227708,0.335078,0.345692,0.512839,0.362665,0.85853,0.230366,5.95645,0.325567,1.5863,0.490934,106.598,24.7184,136.7,2.07724,-1.14707,31.627695083618164,1.0529320240020752,5.53556,999,,,,"23697"
"Adley Rutschman","BAL",149,600,507,138,88,30,1,19,85,68,79,4,94,5,4,4,,3,1,0.271848,0.1321,0.156222,0.845593,0.372597,0.447632,0.355913,0.820229,0.175784,3.19322,0.298329,0.845602,-1.2448,91.7506,18.6928,130.037,-0.3992,0.18666,21.181082278490067,6.286659851670265,5.4667,999,,,,"26288"
"Kyle Tucker","HOU",157,679,594,170,97,35,4,34,103,110,75,7,102,3,5,2,,26,7,0.285846,0.1099,0.149627,0.734496,0.365849,0.530202,0.377448,0.896052,0.244357,5.59988,0.292524,1.05179,1.03585,116.045,33.3125,143.518,2.08764,-0.624154,37.49321413040161,-7.9991536140441895,5.24152,999,,,,"18345"
"José Ramírez","CLE",154,665,581,164,96,37,4,27,93,97,73,18,82,5,5,1,,23,7,0.281926,0.1097,0.123873,0.885585,0.36444,0.50075,0.361288,0.865189,0.218824,5.61966,0.286267,1.41793,0.584442,104.727,23.7005,133.571,2.00237,0.615827,28.752232789993286,0.5908269286155701,5.17903,999,,,,"13510"
"Gunnar Henderson","BAL",143,616,539,141,81,28,5,26,89,76,63,1,146,5,4,5,,11,4,0.260724,0.1023,0.237588,0.430577,0.341179,0.47804,0.350791,0.819219,0.217316,5.67861,0.308616,1.252,-0.582935,91.6401,16.5841,126.488,0.669065,6.62,20.219627261161804,9.019999742507935,5.0027,999,,,,"26289"
"Wander Franco","TBR",128,553,494,142,88,30,6,18,82,70,48,2,70,4,4,3,,23,9,0.287351,0.0861,0.125723,0.684841,0.352046,0.482387,0.356304,0.834432,0.195035,6.50286,0.30123,0.924,-0.380052,84.7998,17.4199,132.586,0.543948,2.095,22.135731756687164,8.020000219345093,4.88061,999,,,,"23667"
"Corey Seager","TEX",138,595,523,153,90,33,1,30,93,87,58,7,97,6,4,4,,3,1,0.292926,0.0971,0.162451,0.59772,0.367013,0.529033,0.377567,0.896046,0.236107,3.06983,0.308383,-0.448,-1.04546,101.747,29.2501,140.33,-1.49346,-3.36173,27.259286165237427,1.013270616531372,4.83512,999,,,,"13624"
"Bobby Witt Jr.","KCR",156,672,614,171,101,32,8,30,101,93,43,1,116,6,5,4,,42,14,0.278056,0.0634,0.172977,0.366523,0.328672,0.501538,0.351609,0.83021,0.223482,7.55887,0.297802,1.78226,1.19194,100.427,18.5481,120.572,2.9742,-2.34109,19.538785696029663,4.858905553817749,4.7096,999,,,,"25764"
"Corbin Carroll","ARI",156,672,588,161,95,31,8,26,102,83,64,1,137,11,4,5,,41,11,0.273176,0.0945,0.203386,0.464633,0.352995,0.485956,0.359116,0.838951,0.21278,7.77941,0.31384,2.02072,2.14775,104.617,22.7374,125.652,4.16847,5.28457,25.524158477783203,-1.3154301643371582,4.69633,999,,,,"25878"
"Matt Olson","ATL",157,679,576,155,82,29,2,42,107,117,91,7,154,6,5,2,,1,1,0.268703,0.1338,0.226206,0.591495,0.371513,0.543058,0.384796,0.914571,0.274355,2.89204,0.292856,0.178092,-1.31458,120.188,37.4556,141.682,-1.13649,1.95063,33.925779700279236,-10.174368858337402,4.6745,999,,,,"14344"
"Rafael Devers","BOS",154,665,586,167,93,38,1,35,102,101,63,9,127,8,5,4,,5,2,0.284721,0.0945001,0.191624,0.493154,0.359276,0.53238,0.374126,0.891657,0.247659,3.52624,0.307591,0.337554,-1.17579,111.817,30.7904,134.177,-0.838231,-2.52266,26.394484221935272,-2.1476638317108154,4.67084,999,,,,"17350"
"Michael Harris II","ATL",149,644,592,172,106,38,3,25,89,92,37,1,124,7,5,3,,24,7,0.290551,0.0579,0.192628,0.300579,0.337597,0.492762,0.353423,0.830359,0.202211,5.7236,0.328172,0.992,0.580639,97.2132,18.7456,120.651,1.57264,3.88,18.04821014404297,6.180000305175781,4.60317,999,,,,"25931"
"Alex Bregman","HOU",157,679,576,154,95,32,2,24,98,87,85,1,86,9,5,3,,3,1,0.267091,0.1259,0.12625,0.997229,0.367486,0.458106,0.358098,0.825592,0.191015,3.45133,0.274888,-1.17436,-1.38687,105.133,22.4003,130.106,-2.56123,-1.65681,21.93222403526306,0.5681936740875244,4.54413,999,,,,"17678"
"Freddie Freeman","LAD",157,679,585,177,110,39,2,26,103,98,77,10,113,10,5,2,,13,4,0.302126,0.113,0.166128,0.680199,0.388807,0.50858,0.380941,0.897388,0.206454,4.35599,0.33351,0.421135,-0.630938,118.014,35.2821,142.889,-0.209802,-1.34093,35.867410868406296,-13.465927958488464,4.53989,999,,,,"5361"
"William Contreras","MIL",152,612,537,147,92,30,1,24,83,78,61,2,135,6,4,4,,4,2,0.273064,0.1003,0.220726,0.454409,0.350998,0.465392,0.351207,0.81639,0.192328,3.39793,0.321391,-0.934922,-1.09938,91.3159,16.6986,120.35,-2.0343,-3.3921,13.404374599456787,2.9579010009765625,4.50076,999,,,,"20503"
"Francisco Lindor","NYM",156,672,592,150,93,28,2,27,88,90,64,1,131,9,5,1,,21,7,0.253915,0.0947,0.19545,0.484524,0.333273,0.4458,0.336117,0.779074,0.191886,5.08125,0.281353,0.323482,0.0761103,91.7814,9.90216,115.019,0.399592,0.33696,12.902788668870926,7.536959797143936,4.32049,999,,,,"12916"
"Vladimir Guerrero Jr.","TOR",154,665,582,166,98,32,1,36,97,108,69,5,99,7,5,1,,7,3,0.285532,0.1045,0.149216,0.700327,0.366042,0.527891,0.378018,0.893933,0.242359,3.26393,0.287976,-1.7206,-1.18544,113.966,32.9401,144.455,-2.90604,-0.36261,32.51642465591431,-12.737610012292862,4.22531,999,,,,"19611"
