Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15,7,,3.18047,31,31,0,0,185,752,138,70,65,21,62,,8,257,12.5165,3.01511,4.15126,1.026,0.34184,0.082346,0.2594941332936287,0.203048,1.08441,0.290664,0.760661,,,3.0884,4.93754,5.20748,999,,,,"27498"
"Zack Wheeler","PHI",13,10,,3.53788,32,32,0,0,200,822,181,85,79,24,48,,9,203,9.13132,2.16215,4.22326,1.095,0.246647,0.058402,0.18824494257569313,0.236709,1.14588,0.291471,0.736594,,,3.6702,4.80974,4.7749,999,,,,"10310"
"Kevin Gausman","TOR",13,10,,3.49115,32,32,0,0,196,808,170,82,76,25,52,,5,225,10.341,2.40837,4.29379,1.145,0.278289,0.064812,0.21347705274820328,0.226403,1.13579,0.289612,0.747135,,,3.49322,4.42918,4.24033,999,,,,"14107"
"Aaron Nola","PHI",13,10,,3.80343,32,32,0,0,198,818,184,90,83,28,45,,7,205,9.32714,2.0462,4.55829,1.285,0.250382,0.054929,0.1954529918730259,0.24068,1.16043,0.292953,0.733154,,,3.82521,4.30646,4.10267,999,,,,"16149"
"Logan Webb","SFG",13,11,,3.52449,32,32,0,0,204,853,205,88,80,18,45,,8,184,8.11119,1.97092,4.11543,0.788,0.215307,0.052317,0.16298985481262207,0.256175,1.22488,0.312594,0.717699,,,3.36859,4.14472,3.95758,999,,,,"17995"
"Pablo López","MIN",13,10,,3.51372,32,32,0,0,196,811,174,83,76,23,54,,9,217,10.0024,2.48095,4.03169,1.042,0.268176,0.066517,0.20165906101465225,0.2322,1.16335,0.29737,0.738014,,,3.50115,4.13755,4.17591,999,,,,"17085"
"Framber Valdez","HOU",14,8,,3.38148,31,31,0,0,195,811,179,81,73,17,63,,10,198,9.11784,2.88276,3.16288,0.771,0.244358,0.077258,0.1670999601483345,0.242969,1.23755,0.310708,0.734939,,,3.45482,4.07816,4.45219,999,,,,"17295"
"Tarik Skubal","DET",11,9,,3.33706,29,29,0,0,171,702,148,69,63,20,46,,6,198,10.3932,2.43879,4.26161,1.027,0.281424,0.066037,0.21538691967725754,0.228144,1.13682,0.297568,0.750627,,,3.35366,4.02694,4.15122,999,,,,"22267"
"Corbin Burnes","MIL",12,11,,3.70223,32,32,0,0,200,838,178,89,82,25,63,,9,222,9.99715,2.83438,3.52711,1.123,0.26448,0.074985,0.18949506431818008,0.232237,1.20634,0.294543,0.736254,,,3.7403,3.84651,4.07451,999,,,,"19361"
"Tyler Glasnow","LAD",11,7,,3.46597,26,26,0,0,154,632,128,64,59,19,47,,4,192,11.2301,2.77413,4.04815,1.094,0.304336,0.075179,0.22915691137313843,0.220757,1.13923,0.296222,0.744691,,,3.34688,3.72976,3.50852,999,,,,"14374"
