"Team","PA","HR","R","RBI","SB","BB.","K.","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC.","EV","BsR","Off","Def","WAR","LD.","GB.","FB.","HR.FB","O.Swing.","SwStr.","Barrel.","HardHit.","Date"
"Red Sox",47,0,13,13,0,0.149,0.191,0.2,0.548,0.425,0.511,0.625,0.484,210,90.5,-0.1,6.3,-0.3,0.7,0.387,0.29,0.323,0,0.286,0.11,0.032,0.419,2020-07-25
"Dodgers",89,3,17,16,1,0.146,0.101,0.216,0.349,0.338,0.438,0.554,0.423,171,88.6,-0.5,7.5,-0.4,1,0.288,0.424,0.288,0.158,0.206,0.067,0.076,0.364,2020-07-25
"Cardinals",34,3,5,5,0,0.088,0.265,0.355,0.316,0.29,0.353,0.645,0.412,163,83.7,-0.4,2.3,0.2,0.4,0.136,0.455,0.409,0.333,0.267,0.122,0.091,0.318,2020-07-25
"Reds",37,2,7,7,1,0.108,0.108,0.226,0.28,0.29,0.405,0.516,0.398,151,89.4,-0.1,2.2,-0.2,0.4,0.296,0.37,0.333,0.222,0.247,0.081,0.037,0.333,2020-07-25
"Yankees",26,1,4,4,0,0.154,0.423,0.182,0.5,0.273,0.385,0.455,0.367,140,89.2,0,1.1,0,0.2,0.3,0.5,0.2,0.5,0.273,0.202,0.091,0.364,2020-07-25
"Athletics",41,2,7,7,0,0.171,0.268,0.273,0.25,0.212,0.366,0.485,0.366,138,93.7,0,1.8,0.3,0.3,0.273,0.091,0.636,0.143,0.3,0.142,0.227,0.682,2020-07-25
"Twins",43,2,10,10,0,0.116,0.209,0.162,0.333,0.297,0.372,0.459,0.358,129,88,-0.1,1.4,0,0.3,0.138,0.517,0.345,0.2,0.295,0.143,0.034,0.31,2020-07-25
"Astros",39,1,8,8,0,0.103,0.128,0.171,0.31,0.286,0.359,0.457,0.353,130,87.8,-0.1,1.3,-0.3,0.2,0.2,0.4,0.4,0.083,0.326,0.087,0.033,0.333,2020-07-25
"Padres",37,0,7,7,2,0.189,0.216,0.1,0.364,0.267,0.405,0.367,0.352,123,87.6,0.4,1.5,0,0.3,0.227,0.318,0.455,0,0.218,0.089,0.136,0.455,2020-07-25
"White Sox",38,1,5,4,0,0.079,0.211,0.171,0.308,0.257,0.316,0.429,0.321,110,85.7,0,0.2,-0.1,0.2,0.296,0.37,0.333,0.111,0.418,0.145,0.111,0.37,2020-07-25
"Marlins",38,1,5,4,1,0.079,0.237,0.147,0.32,0.265,0.316,0.412,0.312,99,NA,-0.3,-0.4,-0.1,0,0.231,0.5,0.269,0.143,0.376,0.119,NA,NA,2020-07-25
"Rays",42,1,4,4,0,0.19,0.214,0.182,0.174,0.152,0.333,0.333,0.307,98,86.3,0,-0.2,0.2,0.1,0.125,0.5,0.375,0.111,0.312,0.132,0.042,0.292,2020-07-25
"Blue Jays",39,1,6,6,0,0.077,0.282,0.147,0.333,0.265,0.308,0.412,0.304,93,85.4,-0.1,-0.6,-0.5,0,0.208,0.292,0.5,0.083,0.329,0.117,0.04,0.32,2020-07-25
"Orioles",34,1,2,2,0,0.029,0.235,0.194,0.227,0.194,0.265,0.387,0.283,80,86.9,0,-1,-0.3,0,0.13,0.609,0.261,0.167,0.325,0.096,0.087,0.391,2020-07-25
"Cubs",30,2,3,3,0,0.033,0.233,0.25,0.158,0.179,0.233,0.429,0.28,78,91.6,0.1,-1,0.2,0.1,0.095,0.571,0.333,0.286,0.296,0.101,0.143,0.429,2020-07-25
"Angels",44,1,3,3,0,0.136,0.182,0.083,0.214,0.194,0.318,0.278,0.267,72,84.4,-0.1,-1.7,-0.4,0,0.172,0.483,0.345,0.1,0.224,0.081,0.069,0.207,2020-07-25
"Indians",33,0,2,2,0,0.091,0.091,0.071,0.2,0.179,0.303,0.25,0.263,61,85.2,-0.1,-1.7,0.3,0,0.08,0.52,0.4,0,0.276,0.079,0,0.32,2020-07-25
"Mets",29,1,1,1,0,0,0.138,0.143,0.217,0.214,0.241,0.357,0.258,65,89.5,-0.2,-1.6,-0.2,-0.1,0.208,0.458,0.333,0.125,0.392,0.108,0.083,0.375,2020-07-25
"Diamondbacks",33,1,2,2,0,0.03,0.212,0.125,0.25,0.219,0.242,0.344,0.252,59,83.7,0.1,-1.9,0.1,-0.1,0.24,0.44,0.32,0.125,0.453,0.11,0.04,0.36,2020-07-25
"Mariners",32,2,2,2,0,0.031,0.313,0.226,0.158,0.161,0.188,0.387,0.239,55,86.6,0,-1.9,-0.2,-0.1,0.095,0.571,0.333,0.286,0.288,0.142,0.095,0.333,2020-07-25
