gamedate,AwayTeam,AwaySP,HomeTeam,HomeSP,bet_type,AO.Odds,AO.SpreadTotal,HU.Odds,HU.SpreadTotal,AwayRunsProj,HomeRunsProj,AO_ImpliedOdds,HU_ImpliedOdds,AO_ProjOdds,HU_ProjOdds,AO.Odds_Diff,HU.Odds_Diff,Pick,Pick_Odds,Pick_SpreadTotal,Pick_WinProb,Pick_Edge,Fract_Odds,Kelly_Criteria,bet_type_full,KC_tier,bet,
8/16/2021,Padres,Ryan Weathers,Rockies,Antonio Senzatela,Alt Total,145,14.5,-190,14.5,4.901015991,4.692623224,0.408163265,0.655172414,0.064000112,0.935999801,-0.344163153,0.280827387,Under,-190,14.5,0.935999801,0.280827387,0.526315789,0.814399423,Alternate Total - Game - 14.5,0.8,,
8/16/2021,Padres,Ryan Weathers,Rockies,Antonio Senzatela,Alt Total,115,13.5,-150,13.5,4.901015991,4.692623224,0.465116279,0.6,0.107741688,0.892258225,-0.357374591,0.292258225,Under,-150,13.5,0.892258225,0.292258225,0.666666667,0.730645563,Alternate Total - Game - 13.5,0.7,,
8/16/2021,Indians,Cal Quantrill,Twins,Griffin Jax,Alt TT,-180,3.5,135,3.5,6.703208084,5.396537082,0.642857143,0.425531915,0.901382097,0.098610195,0.258524955,-0.32692172,Over,-180,3.5,0.901382097,0.258524955,0.555555556,0.723869873,Team Total - Cleveland Indians - 3.5,0.7,,
8/16/2021,Indians,Cal Quantrill,Twins,Griffin Jax,Alt Total,-240,7.5,175,7.5,6.703208084,5.396537082,0.705882353,0.363636364,0.914754967,0.085237049,0.208872614,-0.278399315,Over,-240,7.5,0.914754967,0.208872614,0.416666667,0.710166887,Alternate Total - Game - 7.5,0.7,,
8/16/2021,Padres,Ryan Weathers,Rockies,Antonio Senzatela,Alt Total,135,14,-180,14,4.901015991,4.692623224,0.425531915,0.642857143,0.064000112,0.892258225,-0.361531803,0.249401082,Under,-180,14,0.892258225,0.249401082,0.555555556,0.69832303,Alternate Total - Game - 14,0.65,,
8/16/2021,Astros,Jake Odorizzi,Royals,Carlos Hernandez,ML,-160,NA,140,NA,6.651556157,4.082034312,0.615384615,0.416666667,0.782437098,0.217556022,0.167052483,-0.199110645,Astros,-160,NA,0.782437098,0.167052483,0.625,0.434336455,Moneyline - Game,0.4,40,
8/16/2021,Padres,Ryan Weathers,Rockies,Antonio Senzatela,Alt TT,135,7.5,-180,7.5,4.901015991,4.692623224,0.425531915,0.642857143,0.123239869,0.876760072,-0.302292046,0.233902929,Under,-180,7.5,0.876760072,0.233902929,0.555555556,0.654928203,Team Total - San Diego Padres - 7.5,0.65,,
8/16/2021,Padres,Ryan Weathers,Rockies,Antonio Senzatela,Alt Total,-125,12.5,-105,12.5,4.901015991,4.692623224,0.555555556,0.512195122,0.17157378,0.828426133,-0.383981776,0.316231011,Under,-105,12.5,0.828426133,0.316231011,0.952380952,0.648273573,Alternate Total - Game - 12.5,0.6,,
8/16/2021,Indians,Cal Quantrill,Twins,Griffin Jax,Alt Total,-180,8.5,135,8.5,6.703208084,5.396537082,0.642857143,0.425531915,0.851391824,0.148600191,0.208534681,-0.276931724,Over,-180,8.5,0.851391824,0.208534681,0.555555556,0.583897108,Alternate Total - Game - 8.5,0.55,,
8/16/2021,Braves,Touki Toussaint,Marlins,Braxton Garrett,F5 Total,-105,4.5,-125,4.5,2.572273814,3.071820999,0.512195122,0.555555556,0.664489379,0.335510621,0.152294257,-0.220044934,Over,-105,4.5,0.664489379,0.152294257,0.952380952,0.312203227,Total - 5 Inning Line,0.3,30,10
