Full Name,Full Name22,BR,FG,FG22,BP_2020,BP_2019,BP_2021
Arizona Diamondbacks,Arizona Diamondbacks,ARI,Diamondbacks,Diamondbacks,ARI,ARI,ARI
Atlanta Braves,Atlanta Braves,ATL,Braves,Braves,ATL,ATL,ATL
Baltimore Orioles,Baltimore Orioles,BAL,Orioles,Orioles,BAL,BAL,BAL
Boston Red Sox,Boston Red Sox,BOS,Red Sox,Red Sox,BOS,BOS,BOS
Chicago Cubs,Chicago Cubs,CHC,Cubs,Cubs,CHN,CHN,CHC
Chicago White Sox,Chicago White Sox,CHW,White Sox,White Sox,CHA,CHA,CHW
Cincinnati Reds,Cincinnati Reds,CIN,Reds,Reds,CIN,CIN,CIN
Cleveland Indians,Cleveland Guardians,CLE,Indians,Guardians,CLE,CLE,CLE
Colorado Rockies,Colorado Rockies,COL,Rockies,Rockies,COL,COL,COL
Detroit Tigers,Detroit Tigers,DET,Tigers,Tigers,DET,DET,DET
Houston Astros,Houston Astros,HOU,Astros,Astros,HOU,HOU,HOU
Kansas City Royals,Kansas City Royals,KCR,Royals,Royals,KCA,KCA,KC
Los Angeles Angels,Los Angeles Angels,LAA,Angels,Angels,LAA,ANA,LAA
Los Angeles Dodgers,Los Angeles Dodgers,LAD,Dodgers,Dodgers,LAN,LAN,LAD
Miami Marlins,Miami Marlins,MIA,Marlins,Marlins,MIA,MIA,MIA
Milwaukee Brewers,Milwaukee Brewers,MIL,Brewers,Brewers,MIL,MIL,MIL
Minnesota Twins,Minnesota Twins,MIN,Twins,Twins,MIN,MIN,MIN
New York Mets,New York Mets,NYM,Mets,Mets,NYN,NYN,NYM
New York Yankees,New York Yankees,NYY,Yankees,Yankees,NYA,NYA,NYY
Oakland Athletics,Oakland Athletics,OAK,Athletics,Athletics,OAK,OAK,OAK
Philadelphia Phillies,Philadelphia Phillies,PHI,Phillies,Phillies,PHI,PHI,PHI
Pittsburgh Pirates,Pittsburgh Pirates,PIT,Pirates,Pirates,PIT,PIT,PIT
San Diego Padres,San Diego Padres,SDP,Padres,Padres,SDN,SDN,SD
Seattle Mariners,Seattle Mariners,SEA,Mariners,Mariners,SEA,SEA,SEA
San Francisco Giants,San Francisco Giants,SFG,Giants,Giants,SFN,SFN,SF
St. Louis Cardinals,St. Louis Cardinals,STL,Cardinals,Cardinals,SLN,SLN,STL
Tampa Bay Rays,Tampa Bay Rays,TBR,Rays,Rays,TBA,TBA,TB
Texas Rangers,Texas Rangers,TEX,Rangers,Rangers,TEX,TEX,TEX
Toronto Blue Jays,Toronto Blue Jays,TOR,Blue Jays,Blue Jays,TOR,TOR,TOR
Washington Nationals,Washington Nationals,WSN,Nationals,Nationals,WAS,WAS,WAS
