"ID","gamedate","Day","Time","League","HomeTeam","AwayTeam","bet_type","HOY.Odds","HOY.SpreadTotal","D.Odds","AUN.Odds","AUN.SpreadTotal","HOY_ImpliedOdds","AUN_ImpliedOdds","D_ImpliedOdds","HOY_ProjOdds1","AUN_ProjOdds1","D_ProjOdds1","HOY_ProjOdds2","AUN_ProjOdds2","D_ProjOdds2","HOY_ProjOdds","AUN_ProjOdds","D_ProjOdds","HOY.Odds_Diff","AUN.Odds_Diff","D.Odds_Diff","Pick","Pick_Odds","Pick_SpreadTotal","Pick_WinProb","Pick_LoseProb","Pick_Edge","Fract_Odds","Kelly_Criteria","EV","bet_type_full","Machine_Odds","KC_tier","run_timestamp"
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","ML",-195,,300,575,,0.661016949152542,0.148148148148148,0.25,0.517036185416163,0.233517576372834,0.249446238211003,0.502965473430242,0.236689740865225,0.260344785704532,0.510000829423203,0.23510365861903,0.254895511957767,-0.15101611972934,0.0869555104708816,0.0048955119577675,"Norwich City",575,,0.23510365861903,0.76489634138097,0.0869555104708816,5.75,0.102078207944078,5.86949695678451,"3-Way Moneyline",325,"0.1",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Spread",-195,-0.5,,160,0.5,0.661016949152542,0.384615384615385,,0.517036185416163,0.482962742120129,,0.502965473430242,0.497034541470919,,0.510000829423203,0.489998641795524,,-0.15101611972934,0.105383257180139,,"Norwich City",160,0.5,0.489998641795524,0.510000829423203,0.105383257180139,1.6,0.171247792917726,2.73996997449635,"Alternate Spread - Home: -0.5",104,"0.15",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Spread",145,-1.5,,-177,1.5,0.408163265306122,0.63898916967509,,0.273346047547644,0.726652879988648,,0.18588853139261,0.81411146860739,,0.229617289470127,0.770382174298019,,-0.178545975835996,0.131393004622929,,"Norwich City",-177,1.5,0.770382174298019,0.229617289470127,0.131393004622929,0.564971751412429,0.363958622805513,11.7680477666014,"Alternate Spread - Home: -1.5",-336,"0.35",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Spread",295,-2,,-390,2,0.253164556962025,0.795918367346939,,0.115045659775631,0.726652879988648,,0.181099269212165,0.6304092070753,,0.148072464493898,0.678531043531974,,-0.105092092468127,-0.117387323814965,,"Brighton & Hove Albion",295,-2,0.148072464493898,0.678531043531974,-0.105092092468127,2.95,-0.140716530592916,-2.41717273274975,"Alternate Spread - Home: -2",575,"-0.15",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Spread",-575,0,,400,0,0.851851851851852,0.2,,0.517036185416163,0.233517576372834,,0.502965473430242,0.236689740865225,,0.510000829423203,0.23510365861903,,-0.341851022428649,0.0351036586190298,,"Norwich City",400,0,0.23510365861903,0.510000829423203,0.0351036586190298,4,0.0438795732737872,4.30413805052916,"Alternate Spread - Home: 0",325,"0",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Total",-285,1.5,,225,1.5,0.74025974025974,0.307692307692308,,0.732169313068827,0.267829614467464,,0.49841318049541,0.501586819504589,,0.615291246782119,0.384708216986027,,-0.124968493477621,0.0770159092937193,,"Under",225,1.5,0.384708216986027,0.615291246782119,0.0770159092937193,2.25,0.11124520231315,2.50302241436442,"Alternate Total - 1.5",160,"0.1",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Total",-175,2,,143,2,0.636363636363636,0.411522633744856,,0.480991454768323,0.267829614467464,,0.4624159546569,0.284672633552736,,0.471703704712611,0.2762511240101,,-0.164659931651025,-0.135271509734756,,"Under",143,2,0.2762511240101,0.471703704712611,-0.135271509734756,1.43,-0.229866971087732,-0.766645973781682,"Alternate Total - 2",262,"-0.25",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Total",110,2.5,,-130,2.5,0.476190476190476,0.565217391304348,,0.480991454768323,0.519007472767969,,0.49841318049541,0.501586819504589,,0.489702317631867,0.510297146136279,,0.0135118414413906,-0.0549202451680687,,"Over",110,2.5,0.489702317631867,0.510297146136279,0.0135118414413906,1.1,0.0257953336608367,0.283754032587744,"Alternate Total - 2.5",104,"0",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Total",200,3,,-250,3,0.333333333333333,0.714285714285714,,0.263496660907497,0.519007472767969,,0.285118536577343,0.474378035054133,,0.27430759874242,0.496692753911051,,-0.0590257345909134,-0.217592960374664,,"Over",200,3,0.27430759874242,0.496692753911051,-0.0590257345909134,2,-0.0885386018863701,0.519224435737891,"Alternate Total - 3",265,"-0.1",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Total",275,3.5,,-360,3.5,0.266666666666667,0.782608695652174,,0.263496660907497,0.736502266628795,,0.293805644794833,0.706194355205167,,0.278651152851165,0.721348310916981,,0.011984486184498,-0.0612603847351928,,"Over",275,3.5,0.278651152851165,0.721348310916981,0.011984486184498,2.75,0.0163424811606792,0.449423594237218,"Alternate Total - 3.5",259,"0",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt Total",550,4,,-900,4,0.153846153846154,0.9,,0.122250178206074,0.736502266628795,,0.149097809534494,0.669033743307305,,0.135673993870284,0.70276800496805,,-0.0181721599758695,-0.19723199503195,,"Over",550,4,0.135673993870284,0.70276800496805,-0.0181721599758695,5.5,-0.0214761890623912,0.434389613185139,"Alternate Total - 4",637,"-0.05",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","BTTS",120,,,-160,,0.454545454545455,0.615384615384615,,0.502781027232662,0.497218972767338,,0.425547918896964,0.574452081103036,,0.464164473064813,0.535835526935187,,0.00961901851935859,-0.0795490884494285,,"Yes",120,,0.464164473064813,0.535835526935187,0.00961901851935859,1.2,0.0176348672854907,0.211618407425889,"Both Teams To Score",115,"0",2022-04-01 00:29:54
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Draw No Bet",-575,,,400,,0.851851851851852,0.2,,0.517036185416163,0.233517576372834,,0.502965473430242,0.236689740865225,,0.510000829423203,0.23510365861903,,-0.341851022428649,0.0351036586190298,,"Norwich City",400,,0.23510365861903,0.510000829423203,0.0351036586190298,4,0.0438795732737872,4.30413805052916,"Draw No Bet",325,"0",2022-04-01 00:29:54
